video_id	video_title	video_description	video_thumbnail
YrUjuH8zqsY	“이미 앉았는데요.” 다리가 짧아서 슬픈 애기 닥스훈트[퍼피교육]	닥스훈트 견생 4개월, 연심이와 함께했습니다 교육 내용 1. 기다려 교육 간식을 통해 강아지의 조절력을 기르는 교육 * 포인트 [ 간식 ...	https://i.ytimg.com/vi/YrUjuH8zqsY/hqdefault.jpg
Kd_tsTgKwHI	강형욱 캠핑카 근황 최초공개(회사 주차장에서 캠핑하는 남편 어떤데)	앞으로 캠핑카 근황 문의는 DM으로 부탁드려요   힐링캠핑에 빠질 수 없는 보듬 목줄 구매하기   ▷▷ 보듬숍: https://ppz.kr ...	https://i.ytimg.com/vi/Kd_tsTgKwHI/hqdefault.jpg
nJhBYRgU59o	내 강아지, 보호자 덕후 만들기│강형욱의 멍스쿨 초보 보호자	"유료광고포함 [Eng sub/日本語字幕] "" 내 보호자라면 어디든 따라갈래 ♥ㅅ♥ "" 내 강아지가 나에게 입덕한다? 이 팁만 안다면 보호자 ..."	https://i.ytimg.com/vi/nJhBYRgU59o/hqdefault.jpg
YyKUgBOYztI	점점 심해지는 식분증! 해결하는 교육법｜2019 댕댕이페스티벌	유료광고포함 [Eng sub/日本語字幕] 자라섬에서 열린 2019 댕댕이페스티벌! 그 속에서 진행된 강형욱 훈련사의 '댕신의 즉문즉답 ...	https://i.ytimg.com/vi/YyKUgBOYztI/hqdefault.jpg
4rse42fbus8	다올이 봄 산책	유료광고포함 다올이와 바로의 따뜻한 봄 산책   다올이는 항암치료 중이지만 씩씩하게 지내고 있습니다. 해맑은 바로는 오늘도 ...	https://i.ytimg.com/vi/4rse42fbus8/hqdefault.jpg
Aj4PuxjIpvU	예쁘면 다야? 응. 셸티 예뻐서 다야 | 견종백과 셰틀랜드 쉽독편	오늘 견종백과로 만나볼 친구는 셰틀랜드 쉽독(a.k.a 셸티)입니다! 잘생겼는데 운동도 잘하는 육각형 아이돌 같은 셸티 ...	https://i.ytimg.com/vi/Aj4PuxjIpvU/hqdefault.jpg
1kZq5AdkCyY	&quot;뭘 봐&quot; 예민한 달마시안씨와 친해져보기 [퍼피교육]	견생 3개월 도티와 함께했습니다 교육 내용 1.깨무는 행동이 잦을 때 * 포인트 [다른 것을 깨물며 놀게 하면 자연스럽게 고칠 수 ...	https://i.ytimg.com/vi/1kZq5AdkCyY/hqdefault.jpg
H9McxKQ-dfk	보더콜리 키우지 말래요 | 견종백과 보더콜리편	오늘 견종백과로 만나볼 친구는 보더콜리입니다! 보더콜리 친구들은 7세 아이의 지능을 갖고 있다고 할 정도로 똑똑하고 멋진 견종 ...	https://i.ytimg.com/vi/H9McxKQ-dfk/hqdefault.jpg
9xFqDi0HOq8	도 견디게 하는 극강의 사랑스러움 🤍 | 견종백과 말티즈편	오늘 견종백과로 만나볼 친구는 말티즈입니다   보호 본능을 자극함과 동시에 앙칼짐이 MAX인 미워하려야 미워할 수 없는 친구 ...	https://i.ytimg.com/vi/9xFqDi0HOq8/hqdefault.jpg
j220tzwpeZo	돈 내고 일하세요. 퍼그로 사심 채우는 강형욱ㅣ견종백과 퍼그편	오늘 견종백과로 만나볼 친구는 퍼그입니다   지치고 힘든 하루였나요? 코골이 마저 사랑스러운 퍼그 01:58 다리가 짧아 슬픈 퍼그 ...	https://i.ytimg.com/vi/j220tzwpeZo/hqdefault.jpg
o1Zr5tp_3RM	보호소에 온 지 1년 6개월 된 하늘이 [집에 가자] EP.1	유기견 센터에서 가족을 기다리고 있는 강아지에게 입양 전 필요한 교육을 하는 [집에 가자] 첫 화 주인공은 '서초동물사랑센터'에 있는 ...	https://i.ytimg.com/vi/o1Zr5tp_3RM/hqdefault.jpg
e4zwTPFkrFw	애기 리트리버가 물 먹는 법 [퍼피 교육]	래브라도 리트리버 견생 4개월 차, 아리와 함께했습니다 교육 내용 1. 바디블로킹 (Body Blocking) 반려견의 행동에 대한 거부 의사 ...	https://i.ytimg.com/vi/e4zwTPFkrFw/hqdefault.jpg
ZZr7TFwIciQ	강형욱 훈련사도 못 앉히는 강아지? &#39;댕댕이 빌런의 등장&#39;│강형욱의 멍스쿨 초보 보호자	유료광고포함 [Eng sub/日本語字幕] 포기를 모르는 멍스쿨 vs 만만치 않은 꼬마 댕댕이 강형욱 훈련사도 못 앉히는 강아지가 있다?	https://i.ytimg.com/vi/ZZr7TFwIciQ/hqdefault.jpg
4TzC6xWzWnw	한국에서 보기 진짜 어려운 견종ㅣ견종백과 헝가리안 풀리편	오늘 견종백과로 만나볼 친구는 헝가리안 풀리입니다!   한번 보면 계속 눈이가는 신기한 외모를 가진 견종입니다✨ 보호자를 너무 ...	https://i.ytimg.com/vi/4TzC6xWzWnw/hqdefault.jpg
IF0biMM_2VA	애기 허스키 재밌게 놀아주는 법 [퍼피 교육]	채널 리뉴얼 이후 첫 콘텐츠! 허스키 견생 3개월 차, 캔디와 함께했습니다 교육 내용 1. 둔감화 교육 외부 자극에 예민하게 반응 ...	https://i.ytimg.com/vi/IF0biMM_2VA/hqdefault.jpg
vW6Ry2kdsBc	강형욱은 진돗개를 싫어한다? | 견종백과 진돗개편	오늘 견종백과로 만나볼 친구는 진돗개입니다 이렇게 예쁘고 착한 진돗개를 어떻게 싫어하겠어요? 진돗개 많이 많이 사랑해주세요!	https://i.ytimg.com/vi/vW6Ry2kdsBc/hqdefault.jpg
